Date,High,Low,Open,Close,Volume,Adj Close
2018-11-30,11460.86626639285,11393.898722121303,11401.130066361186,11448.436887727838,339228800,11448.436887727838
2018-12-03,11601.81409785943,11432.67788391366,11586.726134737004,11523.431834751655,294475600,11523.431834751655
2018-12-04,11562.090404391352,11401.304662356259,11537.464901062078,11413.806840969582,285129100,11413.806840969582
2018-12-05,11507.95901394897,11408.9773510446,11421.576517523901,11454.243288035903,180095700,11454.243288035903
2018-12-06,11207.11121263333,11058.308959791848,11207.11121263333,11180.389508868422,28338700,11180.389508868422
2018-12-07,11243.868428589865,11023.018475272464,11189.215722734736,11046.312425759537,311247900,11046.312425759537
2018-12-10,11101.866046120726,10962.528889295574,11082.13167763776,11051.143032995216,275806900,11051.143032995216
2018-12-11,11164.286906285832,10946.417376747857,11114.577914547886,10947.835072119135,275639600,10947.835072119135
2018-12-12,11139.374386450929,11046.837305565592,11064.327748924827,11049.976110558902,268233000,11049.976110558902
2018-12-13,11143.189352518293,11030.496115738591,11100.029913618371,11052.300841164202,264774700,11052.300841164202
2018-12-14,11025.174146222742,10914.287803756162,10977.14866489078,10935.116308236447,277086200,10935.116308236447
2018-12-17,10888.637475607904,10698.989059608204,10881.168044585389,10728.119840596015,264315200,10728.119840596015
2018-12-18,10812.909965316136,10716.878858538841,10720.383250172228,10749.013976913982,386847800,10749.013976913982
2018-12-19,10813.925487330082,10593.81685265158,10739.391933950774,10599.76171394909,370363000,10599.76171394909
2018-12-20,10643.270595781063,10446.015095591521,10571.284901356341,10494.920405730403,308247100,10494.920405730403
2018-12-21,10535.24856042141,10315.592904846731,10491.465160930858,10323.742018544275,614345800,10323.742018544275
2018-12-24,10241.699506376697,10133.501431346236,10193.006421943051,10135.928579295036,170610500,10135.928579295036
2018-12-27,10436.528070523978,10254.40165229533,10327.856446479484,10436.30718738983,235414700,10436.30718738983
2018-12-28,10519.789034128135,10407.519121672869,10451.722217753248,10442.764000877067,266928600,10442.764000877067
2018-12-31,10533.842289140368,10437.894415681089,10506.82731035598,10514.535429451853,171356600,10514.535429451853
2019-01-02,10568.717053838322,10357.71407513718,10395.217991123915,10529.746007765305,270319800,10529.746007765305
