Date,High,Low,Close,Open,Adj Close
2020-04-08,5704.45,5589.73,5677.73,5704.45,5677.73
2020-04-07,5780.21,5582.39,5704.45,5582.39,5704.45
2020-04-06,5590.58,5415.5,5582.39,5415.5,5582.39
2020-04-03,5486.29,5396.66,5415.5,5480.22,5415.5
2020-04-02,5552.36,5395.07,5480.22,5454.57,5480.22
2020-04-01,5671.96,5414.72,5454.57,5671.96,5454.57
2020-03-31,5702.66,5545.85,5671.96,5563.74,5671.96
2020-03-30,5567.2,5351.84,5563.74,5510.33,5563.74
2020-03-27,5815.73,5407.06,5510.33,5815.73,5510.33
2020-03-26,5815.73,5503.35,5815.73,5688.2,5815.73
2020-03-25,5741.42,5400.47,5688.2,5446.01,5688.2
2020-03-24,5446.01,4993.89,5446.01,4993.89,5446.01
2020-03-23,5194.83,4922.76,4993.89,5190.78,4993.89
2020-03-20,5419.3,5151.61,5190.78,5151.61,5190.78
2020-03-19,5181.04,4942.37,5151.61,5080.58,5151.61
2020-03-18,5294.9,5006.2,5080.58,5294.9,5080.58
2020-03-17,5308.95,4978.84,5294.9,5151.08,5294.9
2020-03-16,5366.11,4898.79,5151.08,5366.11,5151.08
2020-03-13,5696.48,5237.48,5366.11,5237.48,5366.11
2020-03-12,5876.52,5237.48,5237.48,5876.52,5237.48
2020-03-11,6088.5,5860.75,5876.52,5960.23,5876.52
2020-03-10,6231.06,5927.85,5960.23,5965.77,5960.23
2020-03-09,6462.55,5891.56,5965.77,6462.55,5965.77
2020-03-06,6705.43,6431.44,6462.55,6705.43,6462.55
2020-03-05,6834.12,6662.61,6705.43,6815.59,6705.43
2020-03-04,6856.27,6700.23,6815.59,6718.2,6815.59
2020-03-03,6846.28,6654.89,6718.2,6654.89,6718.2
2020-03-02,6775.18,6496.01,6654.89,6580.61,6654.89
2020-02-28,6796.4,6460.08,6580.61,6796.4,6580.61
2020-02-27,7042.47,6729.99,6796.4,7042.47,6796.4
2020-02-26,7044.66,6871.85,7042.47,7017.88,7042.47
2020-02-25,7198.23,7004.94,7017.88,7156.83,7017.88
2020-02-24,7403.92,7114.45,7156.83,7403.92,7156.83
2020-02-21,7436.7,7370.63,7403.92,7436.64,7403.92
2020-02-20,7480.49,7436.64,7436.64,7457.02,7436.64
2020-02-19,7462.01,7382.01,7457.02,7382.01,7457.02
2020-02-18,7433.25,7353.41,7382.01,7433.25,7382.01
2020-02-17,7449.95,7409.13,7433.25,7409.13,7433.25
2020-02-14,7472.85,7403.69,7409.13,7452.03,7409.13
2020-02-13,7534.37,7406.94,7452.03,7534.37,7452.03
2020-02-12,7547.65,7499.01,7534.37,7499.44,7534.37
2020-02-11,7499.44,7499.44,7499.44,7446.88,7499.44
2020-02-10,7466.7,7427.85,7446.88,7466.7,7446.88
2020-02-07,7506.26,7441.14,7466.7,7504.79,7466.7
2020-02-06,7533.57,7482.48,7504.79,7482.48,7504.79
2020-02-05,7512.41,7408.45,7482.48,7439.82,7482.48
2020-02-04,7442.08,7326.31,7439.82,7326.31,7439.82
2020-02-03,7359.98,7285.16,7326.31,7286.01,7326.31
2020-01-31,7398.34,7275.03,7286.01,7381.96,7286.01
2020-01-30,7483.57,7357.62,7381.96,7483.57,7381.96
2020-01-29,7514.73,7462.21,7483.57,7480.69,7483.57
2020-01-28,7491.44,7410.37,7480.69,7412.05,7480.69
2020-01-27,7585.98,7392.83,7412.05,7585.98,7412.05
2020-01-24,7642.21,7507.59,7585.98,7507.67,7585.98
2020-01-23,7572.13,7503.17,7507.67,7571.92,7507.67
2020-01-22,7637.35,7563.52,7571.92,7610.7,7571.92
2020-01-21,7651.44,7550.47,7610.7,7651.44,7610.7
2020-01-20,7682.77,7639.62,7651.44,7674.56,7651.44
2020-01-17,7689.67,7609.81,7674.56,7609.81,7674.56
2020-01-16,7653.58,7595.31,7609.81,7642.8,7609.81
2020-01-15,7642.8,7609.44,7642.8,7622.35,7642.8
2020-01-14,7650.69,7588.81,7622.35,7617.6,7622.35
2020-01-13,7635.77,7582.51,7617.6,7587.85,7617.6
2020-01-10,7631.96,7585.07,7587.85,7598.12,7587.85
2020-01-09,7627.76,7574.93,7598.12,7574.93,7598.12
2020-01-08,7579.48,7524.96,7574.93,7573.85,7574.93
2020-01-07,7604.59,7562.14,7573.85,7575.34,7573.85
2020-01-06,7622.4,7528.08,7575.34,7622.4,7575.34
2020-01-03,7626.41,7551.0,7622.4,7604.3,7622.4
2020-01-02,7624.78,7542.44,7604.3,7542.44,7604.3
2020-01-01,7587.41,7532.38,7542.44,7542.44,7542.44
2019-12-31,7587.41,7532.38,7542.44,7587.05,7542.44
2019-12-30,7644.9,7587.05,7587.05,7644.9,7587.05
2019-12-27,7665.4,7622.46,7644.9,7632.24,7644.9
2019-12-26,7632.24,7632.24,7632.24,7632.24,7632.24
2019-12-25,7636.16,7608.22,7632.24,7632.24,7632.24
2019-12-24,7636.16,7608.22,7632.24,7623.59,7632.24
2019-12-23,7628.2,7559.63,7623.59,7582.48,7623.59
2019-12-20,7599.52,7564.59,7582.48,7573.82,7582.48
2019-12-19,7575.9,7526.1,7573.82,7540.75,7573.82
2019-12-18,7557.05,7515.17,7540.75,7525.28,7540.75
2019-12-17,7537.66,7497.15,7525.28,7519.05,7525.28
2019-12-16,7552.65,7353.18,7519.05,7353.44,7519.05
2019-12-13,7429.04,7223.42,7353.44,7273.47,7353.44
2019-12-12,7307.36,7216.08,7273.47,7216.25,7273.47
2019-12-11,7250.67,7195.49,7216.25,7213.76,7216.25
2019-12-10,7234.4,7137.84,7213.76,7233.9,7213.76
2019-12-09,7255.73,7217.8,7233.9,7239.66,7233.9
2019-12-06,7241.5,7137.85,7239.66,7137.85,7239.66
2019-12-05,7194.78,7131.16,7137.85,7188.5,7137.85
2019-12-04,7190.04,7139.91,7188.5,7158.76,7188.5
2019-12-03,7285.94,7134.93,7158.76,7285.94,7158.76
2019-12-02,7400.27,7277.02,7285.94,7346.53,7285.94
2019-11-29,7421.4,7346.53,7346.53,7416.43,7346.53
2019-11-28,7429.78,7385.32,7416.43,7429.78,7416.43
2019-11-27,7446.0,7400.38,7429.78,7403.14,7429.78
2019-11-26,7421.3,7384.96,7403.14,7396.29,7403.14
2019-11-25,7401.78,7326.81,7396.29,7326.81,7396.29
2019-11-22,7343.26,7238.47,7326.81,7238.55,7326.81
2019-11-21,7262.49,7197.33,7238.55,7262.49,7238.55
2019-11-20,7323.8,7219.11,7262.49,7323.8,7262.49
2019-11-19,7404.47,7307.7,7323.8,7307.7,7323.8
2019-11-18,7335.36,7293.4,7307.7,7302.94,7307.7
2019-11-15,7335.55,7243.15,7302.94,7292.76,7302.94
2019-11-14,7351.28,7292.76,7292.76,7351.21,7292.76
2019-11-13,7365.44,7301.71,7351.21,7365.44,7351.21
2019-11-12,7390.0,7328.18,7365.44,7328.54,7365.44
2019-11-11,7359.38,7258.46,7328.54,7359.38,7328.54
2019-11-08,7406.83,7349.12,7359.38,7406.41,7359.38
2019-11-07,7431.94,7396.0,7406.41,7396.65,7406.41
2019-11-06,7398.78,7363.55,7396.65,7388.08,7396.65
2019-11-05,7402.79,7369.61,7388.08,7369.69,7388.08
2019-11-04,7392.73,7302.42,7369.69,7302.42,7369.69
2019-11-01,7307.18,7248.38,7302.42,7248.38,7302.42
2019-10-31,7335.16,7245.23,7248.38,7330.78,7248.38
2019-10-30,7334.04,7278.18,7330.78,7306.26,7330.78
2019-10-29,7335.73,7264.74,7306.26,7331.28,7306.26
2019-10-28,7346.92,7291.59,7331.28,7324.47,7331.28
2019-10-25,7331.17,7279.78,7324.47,7328.25,7324.47
2019-10-24,7338.87,7255.46,7328.25,7260.74,7328.25
2019-10-23,7265.86,7194.13,7260.74,7212.49,7260.74
2019-10-22,7230.17,7146.69,7212.49,7163.64,7212.49
2019-10-21,7197.53,7139.38,7163.64,7150.57,7163.64
2019-10-18,7197.14,7146.11,7150.57,7182.32,7150.57
2019-10-17,7237.78,7162.04,7182.32,7167.95,7182.32
2019-10-16,7217.63,7149.84,7167.95,7211.64,7167.95
2019-10-15,7242.37,7176.67,7211.64,7213.45,7211.64
2019-10-14,7251.8,7194.21,7213.45,7247.08,7213.45
2019-10-11,7250.09,7144.66,7247.08,7186.36,7247.08
2019-10-10,7212.9,7130.52,7186.36,7166.5,7186.36
2019-10-09,7196.41,7139.9,7166.5,7143.15,7166.5
2019-10-08,7223.86,7143.15,7143.15,7197.88,7143.15
2019-10-07,7206.89,7132.98,7197.88,7155.38,7197.88
2019-10-04,7157.75,7077.4,7155.38,7077.64,7155.38
2019-10-03,7129.02,7004.43,7077.64,7122.54,7077.64
2019-10-02,7360.32,7119.72,7122.54,7360.32,7122.54
2019-10-01,7433.24,7352.83,7360.32,7408.21,7360.32
2019-09-30,7439.62,7402.2,7408.21,7426.21,7408.21
2019-09-27,7440.77,7351.0,7426.21,7351.08,7426.21
